# timestamp tx ty tz qx qy qz qw
1.546321747732681990e+09 -2.882406520176768461e-01 -4.538758924388281435e-01 1.353776282956695498e+00 8.703767532989149514e-01 -3.657036100522756406e-01 3.258243668308757335e-01 5.043469927373155082e-02
1.546321748033124924e+09 -2.669548084253803855e-01 -4.449450821992187999e-01 1.415946801482788731e+00 8.362119155392504499e-01 -4.000254978843905684e-01 3.685053799733359892e-01 7.023544890744495839e-02
1.546321748433056116e+09 -2.311698323700241420e-01 -4.131532457062663255e-01 1.491039058775468273e+00 7.862698037001464302e-01 -4.370599201995116756e-01 4.305795908399036587e-01 7.320954785183815539e-02
1.546321748733066082e+09 -2.185976060272894206e-01 -3.677106903631847112e-01 1.529735924087727073e+00 7.423723799090439224e-01 -4.749113276838005104e-01 4.671202325684156165e-01 7.170194356515954826e-02
1.546321749132565022e+09 -2.130334205746639842e-01 -3.097141591488024037e-01 1.561951780501717124e+00 6.790914483503714960e-01 -5.201588561157419743e-01 5.122283514038484808e-01 7.675731365709075049e-02
1.546321749433064938e+09 -1.980451861612815279e-01 -2.638994778398853769e-01 1.565488857554624857e+00 6.281264256771504906e-01 -5.503808243404688660e-01 5.451285285723420637e-01 7.330094747618359774e-02
1.546321749832730055e+09 -1.625529877800023781e-01 -2.160159021914796196e-01 1.541823416556954429e+00 5.539120699715938123e-01 -5.870916912370108820e-01 5.872360016608120237e-01 6.048671898584827983e-02
1.546321750232383966e+09 -1.580178539485812550e-01 -2.218965187230407810e-01 1.515136335119084077e+00 4.724911039155156312e-01 -6.134328519425044091e-01 6.301789174763025025e-01 5.767863423121525474e-02
1.546321750633130074e+09 -1.569188404010654070e-01 -2.180388340986597617e-01 1.501013466642256766e+00 3.887193830674847139e-01 -6.310742695277627989e-01 6.684023652995024767e-01 6.229595195247451811e-02
1.546321751032402992e+09 -1.780000368793532295e-01 -1.714543183071163268e-01 1.490664330548000072e+00 3.008443953998803932e-01 -6.493145752940848725e-01 6.956576326960370871e-01 6.279880682694399807e-02
1.546321751332565069e+09 -1.998407431799469058e-01 -1.124328093975560799e-01 1.472924032992438459e+00 2.327037480031979022e-01 -6.627820535033650540e-01 7.084203283001352380e-01 6.862618793328978395e-02
1.546321751632616997e+09 -2.115786830702356958e-01 -6.071777839978088898e-02 1.434463825271491189e+00 1.607711045093811464e-01 -6.762428867429096657e-01 7.164544994686574686e-01 5.950764888285638848e-02
1.546321752032727957e+09 -2.411663691494385364e-01 -1.371169529749951578e-02 1.398179097876592003e+00 6.702812495056396924e-02 -6.868607405238944530e-01 7.225502399705738821e-01 4.062886056789218048e-02
1.546321752332801104e+09 -3.030295497134998794e-01 7.682642348134572328e-03 1.417288091489672830e+00 -1.177019765176306933e-03 -6.744920344120196587e-01 7.361062649997975882e-01 5.662752658606153011e-02
1.546321752732413054e+09 -3.750703552567766774e-01 3.667309163700650798e-02 1.447817071732575345e+00 -1.029668579828747488e-01 -6.612565986347592739e-01 7.402502915071329515e-01 6.455263621826806686e-02
1.546321753033212900e+09 -4.031591229909358143e-01 5.246171607348563276e-02 1.453338479817906537e+00 -1.778147851884962216e-01 -6.507269997140363582e-01 7.362200188925169808e-01 5.400331280059797456e-02
1.546321753432590008e+09 -4.398450307394878300e-01 7.961646485660241190e-02 1.439771379800100171e+00 -2.766206889535544611e-01 -6.375621265265346560e-01 7.177572840974663082e-01 4.266157975102325556e-02
1.546321753732765913e+09 -4.835454346600898123e-01 1.103753440284594989e-01 1.444218511785074099e+00 -3.476244231201378598e-01 -6.158759225142856897e-01 7.056777776592972895e-01 4.327796940019556365e-02
1.546321754132638931e+09 -5.460902515653192069e-01 1.415589932237624471e-01 1.439707239605325206e+00 -4.358535199349123923e-01 -5.866542153255867031e-01 6.808941734873938945e-01 4.745171558527323807e-02
1.546321754432961941e+09 -5.838552793682710851e-01 1.529578939032179841e-01 1.435522073421778178e+00 -5.022766092523299752e-01 -5.569974389812049065e-01 6.598149454834160155e-01 4.600324426687564527e-02
1.546321754733009100e+09 -6.043342052087312677e-01 1.561750239039380594e-01 1.432945842732980646e+00 -5.650102987236321761e-01 -5.215249976106292040e-01 6.382560984932534875e-01 3.747254914781982665e-02
1.546321755132443905e+09 -6.045563135273610555e-01 1.697500300940701368e-01 1.392693750951642828e+00 6.465156424056346385e-01 4.831339712156025867e-01 -5.891068636366102451e-01 -3.939788317292178960e-02
